candidateID,candidate_name
UEDLWmdYz6,M. Ali Umrani
PQn2mwYXDP,Safdar Ali Abbasi
9OHnwlzODm,Benazir Bhutto
ZeSOMvz4PU,Dr. Khalid Mehmood Soomro
q2GTQ8QULz,M. Ayub Ansari
S8HwC9HM9V,Makhdoom Amin Fahim
uxUx78FDNQ,Sahabzada Shabbir Hassan Ansari
H1VbRTodAL,Amanullah
voUJnaSaEA,Molana Shah Ahmad Noorani Siddiqi
2NMARelVBf,Abdul Waheed Qureshi
m1IKZMQL4T,"Nawab Mirza, Adv."
x2geGIgvbx,Hassan Imam Sheikh
S3LBa9aDLe,Kazi Nisar Ahmad
Uqb02YNtT7,Aftab Ahmad Sheikh
kV4UN93f9R,Kaleemullah Khan
1pvXnB8dqg,Qazi Asad Abid
SGiRvSSQ1o,Nawab M. Yamin (Rtd)
73O4jZcDVr,Mushtaq Ahmad Khan
I6kVNK5ywC,Dost Muhammad
tskAWYgM3N,Syed Wasi Mazhar Nadvi
zRkG925nyO,Mumtaz Junedi
W5FWVXZpuh,Waseem Akhtar Khan Saghar
LNUGlyTWFK,Abdul Qadir Junejo
kaZpv2FJhv,Syed Sohail Mehmood Mashadi
ZPzDyoGDQG,Rana Mehmood Ali
X2ELhb0LrB,Ch. M. Ali
tb9usaInWk,Zafar Ali Rajput
NOxvQDkS3n,Malik Said Ahmad
AyKlucVo3v,Malik Aurangzeb
kzwxAY5qog,Haji Pir Dad
QqJibvxesi,Molana Abdul Baqi
v5ab2TUJPR,Syed Gul Badshah
7b6TQVT4uT,Abdur Rehman
fJkNqPoRuN,Haji Ali Dad
zzvrSbtOq1,Naveed Qamar
rRiRNuAmwN,Mir Haider Ali Khan Talpur
8dG1STfMZk,Syed Qbool M. Shah
lD0k7TPX8k,Syed Miran M. Shah
XJCUrkniR4,Syed Zulfiqar Ali Shah
qwZAiDg6xL,M. Tufail
KBI8KSodSf,M. Yameen
yJTHPa6jdy,Irfan Gul
A1ktg7kC1f,Anwar Hussain Shah
z5jV0PrWBo,Abdul Sattar Bachani
mtXmxjropb,Mir Murtaza Bhutto
mMCSLE37nv,M. Ibrahim Sanihiro
x0iiPrO0QD,Dr. Dadu Maheri
vWwRt4WABb,Syed Umed Ali Shah
QmpAx3PNyL,Haji Mir M. Khan Khokhar
nc3B2muCw4,Umed Ali
2tiJwdtvAz,M. Mehmood Shah
LaeVbTh2ZH,Shahid Ahmad Khanzada Alias Shahid Wahab
7qH1KrwDtr,Abdul Sattar
ZbWiGAykQO,Haji Abdullah Halepoto
IYOArDPNBB,Molvi Abdul Ghafoor Qasimi
bQYVsoEZnm,Ali Ashgar Halepoto
LLPKRTg805,Dr. Abdul Haq Nizamani
B9JeUiK9hg,Ali Anwar Halepoto
t5w0BpjX6l,Ghulam Hussain Shah
MuzBw97bCd,M. Iqbal
CSZYN07aZx,Dr. Zulfiqar Ali Mirza
ohhRGp7Dja,Mir Murtaza Bhutto
Vahr3hhC3M,Abdul Ghafoor Nizamani
uDros6buFj,Master Abdullah Sheedi
qsi3uBYIfg,Dr. Dodo Maheri
F02IG5MAbr,Haji M. Thebo
uHFVBWOZxj,Haji Ali Ahmad Shah
h3pQv5ZjFm,Nadi Hussain
JLeKmV4obW,Syed Ghulam Mustafa Shah Alias Allah Bachayo Shah
meeF1xSLY3,Dr. Fawad Hussain
D3CrcUS2qK,Islam Ali Shah
HY61nQXDjm,Pir Aftab Hussain Shah Gilani
BZwTfZ1TWd,Syed Qurban Ali Shah
cYlDol7JYp,M. Rashid
DiZBmLgir3,Iftikhar Ahmad
wWApmwoWWH,Zahid Ali Khan
zLZs1KNAtp,Abdul Ghaffar Qureshi
4glbhptKC8,Qayoom Shahid
xPEFTF2f5S,Shabbir Ahmad Qaimkhani
eNA8bz0QaK,Haji Ghulam Rasool
gD5tEJFDQ9,Mirza Idrees Baig
Mgarnz9yhh,Ashfaq Ahmad
X5MsKBRlVv,Nawab M. Yousaf Talpur
JOwAyE6Tfa,Pir Noor M. Shah
XVbe9sskfi,Syed Ghulam Rasool Shah
BdF3zdApMz,Mir Behram Ali Talpur
aTWZdnL63u,Maqsood Ahmad
nzMFEUj1gQ,Ghulam Mustafa
8XlVqeiYWp,Syed Ali Mardan Shah
nKtCPPVU5F,Muzaffar Hussain Shah
nKFjYiicoz,Mir Jan M. Khan Talpur
evxt3PXWPx,Nawab M. Hussain
gcx1LYxGJE,Arbab Ghulam Rahim
UsXvBKZBX3,Abdul Qadoos
HhTffarL7y,Arbab Abdullah
XuHdVP0LQ9,Rasool Bakhsh
h63MBS1ZLd,Arbab Attaullah
bvuWr7tXdW,M. Manghan
tfZVM7rAYx,Malik Asad Sikandar
YyKKRTjsKE,Pir Bakhsh
3OGjYGurJf,Javed
ltTpWF8Xas,Hussain Bakhsh Thebo
v6FzmmrI9m,Syed M. Shoaib Shibli
j1ra54SXZT,Amir Bakhsh
tnk27pM71C,Qurban Ali Khoso
CP06Rha8kO,Idris Khan
6DUWh4K8qA,Rohsan Ali Burero
fzZbvPbCmS,Hussain Shah Rashdi
PP2ykMRvnk,Haji M. Bakhsh
HseoKLX77O,Mir Zafarullah Khan
gbIpeVi98o,Dr. Manzoor Hussain Leghari
deT1QrVPAe,Mir Murtaza Bhutto
5MCBJ2PQUU,Chakhar Khan
C334B4k1Mg,Lal Bakhsh
5knwvLOGC2,Nabi Bakhsh
ZBP6e4MRTD,Mumtaz Hussain Leghari
3fDzqJtH9g,Rafiq Ahmad Jamali
xdVO2pyN0m,Rafiq Ahmad Mahessar
VzEFmd9hLG,Abdul Hameed Khan
euehxbWPkq,Molana Fazal-Ur-Rehman
cDj1a94rBd,Alhaj Sadar Umar Farooq Khan
Xuqn7XVRKs,Fazal Karim Khan Kundi Alias Latti Khan
XIOUAqA01k,Jehanzeb Khan Gandapur
q38nuZStPo,Gul Momin Khan
MGTuZs6O8n,Sardar Munir Ahmad Khan Qasuria
W4YhEa2RfU,Asmatullah Khan Mastikhel
br2ntXv3jt,Hamid Nawaz Khan Kundi
reZWxp1ShO,Haji Khuda Bakhsh
Zwx0NTv19F,Makhdoom Shah Nawaz
seQaPyx6Cb,Ch. Muzaffar Khan
nPF6TrCAHV,Haji Pir Bakhsh
liiwDKTAMP,M. Akhtar
ErfK2yzyhr,Jan Ali
tU1jk5xY1M,Jam Mashooq Ali
PmwGNJcY5D,Shah Nawaz Khan Junejo
WoCRFU7cu6,Haji Ghulam Qadir
gRuzwiHo0N,Abdul Aziz Ghori
K4mnJ8OQqF,Faiz Muhammad
HvmdRR7Ols,Fakir Ali Hassan
lUWcHy0ahv,Amjad Ghori
82RgicypyA,Soomro Abdul Razzaq
HAmuQnWHM3,Fida Hussain Dero
4LJkHAkJey,Mir M. Wassan
3Dmx4sam6Y,Syed Mansoor Ali
c2igiQsSZW,Qadir Bakhsh
nXQ9QJXFuA,Darya Khan
LadKKm7KpP,M. Younas Rajput
C15U0VqLSv,M. Ali Sheikh
