candidate_name,candidate_party
M. Ashiq,Pakistan Islamic Front
Qamaruddin Bhatti,Independents
Dr. Mazhar Ali Mughal,Independents
Bahawal Khan Unar (Rtd),Independents
Shabir Ahmad Chandio,Pakistan Peoples Party Parliamentarians
Sardar Ahmad Sultan Chandio,Pakistan Muslim League (Nawaz)
Mushtaq Ahmad Chandio,Independents
Molana M. Siddiq Mugheri,Islami Jamhoori Mahaz
Raees Haji Arbab Ali Buledi,Independents
Mir Murtaza Bhutto,Shaheed Bhutto Committee
Asghar Mashooq Shah,Independents
M. Ali Umrani,Independents
Safdar Ali Abbasi,Independents
Benazir Bhutto,Pakistan Peoples Party Parliamentarians
Dr. Khalid Mehmood Soomro,Islami Jamhoori Mahaz
M. Ayub Ansari,Pakistan Islamic Front
Makhdoom Amin Fahim,Pakistan Peoples Party Parliamentarians
Sahabzada Shabbir Hassan Ansari,Pakistan Muslim League (Nawaz)
Amanullah,Pakistan Peoples Party Parliamentarians
Molana Shah Ahmad Noorani Siddiqi,Islami Jamhoori Mahaz
Abdul Waheed Qureshi,Pakistan Islamic Front
"Nawab Mirza, Adv.",Independents
Hassan Imam Sheikh,Independents
Kazi Nisar Ahmad,Independents
Aftab Ahmad Sheikh,Haq Parast Group
Kaleemullah Khan,Haqiqi Group
Qazi Asad Abid,Pakistan Peoples Party Parliamentarians
Nawab M. Yamin (Rtd),Pakistan Muslim League (Nawaz)
Mushtaq Ahmad Khan,Pakistan Islamic Front
Dost Muhammad,Independents
Syed Wasi Mazhar Nadvi,Independents
Mumtaz Junedi,Independents
Waseem Akhtar Khan Saghar,Islami Jamhoori Mahaz
Abdul Qadir Junejo,Independents
Syed Sohail Mehmood Mashadi,Haq Parast Group
Rana Mehmood Ali,Independents
Ch. M. Ali,Independents
Zafar Ali Rajput,Independents
Malik Said Ahmad,Independents
Malik Aurangzeb,Pakistan Muslim League (Nawaz)
Haji Pir Dad,Independents
Molana Abdul Baqi,Islami Jamhoori Mahaz
Syed Gul Badshah,Jamiat Ulama-e-Islam (Sami)
Abdur Rehman,Independents
Haji Ali Dad,Independents
Naveed Qamar,Pakistan Peoples Party Parliamentarians
Mir Haider Ali Khan Talpur,Pakistan Muslim League (Nawaz)
Syed Qbool M. Shah,Independents
Syed Miran M. Shah,Independents
Syed Zulfiqar Ali Shah,Independents
M. Tufail,Haq Parast Group
M. Yameen,Independents
Irfan Gul,Independents
Anwar Hussain Shah,Independents
Abdul Sattar Bachani,Pakistan Peoples Party Parliamentarians
Mir Murtaza Bhutto,Shaheed Bhutto Committee
M. Ibrahim Sanihiro,Pakistan Islamic Front
Dr. Dadu Maheri,Independents
Syed Umed Ali Shah,Independents
Haji Mir M. Khan Khokhar,Independents
Umed Ali,Independents
M. Mehmood Shah,Independents
Shahid Ahmad Khanzada Alias Shahid Wahab,Haq Parast Group
Abdul Sattar,Pakistan Peoples Party Parliamentarians
Haji Abdullah Halepoto,Pakistan Muslim League (Nawaz)
Molvi Abdul Ghafoor Qasimi,Islami Jamhoori Mahaz
Ali Ashgar Halepoto,Independents
Dr. Abdul Haq Nizamani,Independents
Ali Anwar Halepoto,Independents
Ghulam Hussain Shah,Independents
M. Iqbal,Haq Parast Group
Dr. Zulfiqar Ali Mirza,Pakistan Peoples Party Parliamentarians
Mir Murtaza Bhutto,Shaheed Bhutto Committee
Abdul Ghafoor Nizamani,Pakistan Muslim League (Nawaz)
Master Abdullah Sheedi,Independents
Dr. Dodo Maheri,Independents
Haji M. Thebo,Independents
Haji Ali Ahmad Shah,Independents
Nadi Hussain,Independents
Syed Ghulam Mustafa Shah Alias Allah Bachayo Shah,Independents
Dr. Fawad Hussain,Independents
Islam Ali Shah,Independents
Pir Aftab Hussain Shah Gilani,Pakistan Peoples Party Parliamentarians
Syed Qurban Ali Shah,Pakistan Muslim League (Nawaz)
M. Rashid,Pakistan Islamic Front
