candidate_name,candidate_party
Shahbaz Ahmad,Jamiat Ulema-e-Pakistan (Noorani)
Kamar Ul Zaman,Independents
Muhammad Akmal Minhas Khan,Independents
Munawar Hussain Manj,Independents
Tahir Saeed Kujjar,Independents
Maqsood Begam,Independents
Nadeem Akhtar Urf Tariq Nadeem Dogar,Independents
Ahmad Sher Virk,Independents
Javaid Iqbal,Independents
Khalil Ahmad Virk,Independents
Saeeda Gulnar Bukhari,Independents
Muhammad Abubakar Virk,Independents
Faiz Ur Rasool,Independents
Sardar Muhammad Wasif Dogar,Independents
Mian Mushtaq Ahmad,Independents
Imran Faisal,Independents
Muhammad Azhar Nawaz Khan,Independents
Khalid Mehmood,Independents
Mian Rashid,Independents
Muhammad Arif Khan Sindhila,Pakistan Muslim League (Nawaz)
Haji Muhammad Shafique,Pakistan Tehreek-e-Insaf
Mian Khalid Mehmood,Independents
Rana Abdul Sammi,Sunni Tehreek
Syed Raza Hussain Babar Rizvi,Independents
Main Muhammad Pervez,Pakistan Peoples Party Parliamentarians
Hafiz Muhammad Ashfaq Gujjar,Jamiat Ulama-e-Islam (Sami)
Seith Ghulam Rasool Rehmani,Independents
Sheikh Jamil,Jamaat-e-Islami
Seith Abdul Khaliq Rehmani,Independents
Muhammad Arif Kamboh,Tehreek-e-Tahaffuze Pakistan
Khalid Mehmood Virk,Independents
Liaquat Masih,Muttahida Qaumi Movement Pakistan
Abdul Jabbar Mughal,Independents
Iftikhar Ali Tayab Rehmani Advocate,Independents
Nazeer Hussain Rehmani,Independents
Wajid Azeem,Independents
Attiya Idrees,Independents
Ch Shakeel Atta Ullah Virk,Independents
Shahid Jameel,Independents
Mian Muhammad Rafique,Independents
Rana Anwar Ul Haq Sohoria,Independents
Akmal Azeem Virk,Independents
Main Muhammad Munawar Latif Advocate,Independents
Rana Asad Ullah Khan,Independents
Hamid Ali Pasha,Independents
Ali Mumtaz Dhudi,All Pakistan Muslim League
Shahbaz Ahmad,Jamiat Ulema-e-Pakistan (Noorani)
Najeeb Riasat Ali Virk,Independents
Khalid Nawaz,Independents
Amjad Nazeer Butt,Independents
Shah Nawaz Sura,Independents
Muhammad Anees Riasat Virk,Independents
Malik Fakhar Abas,Independents
Ch Tanveer Ahmad Kamboh,Independents
Mian Rashid,Independents
Muhammad Shahid,Pakistan Muhammadi Party
Atta Ullah Virk,Independents
Hafiz Muhammad Abdullah Qadri,Independents
Faiz Rasool,Independents
Imran Saeed,Independents
Ali Salman,Independents
Rana Tanvir Ahmad Nasir,Pakistan Muslim League (Nawaz)
Chaudhry Fazal Mahmood Gujjar,Independents
Alhaj Muhammad Ishaq Bhatti,Independents
Imran Saeed,Pakistan Tehreek-e-Insaf
Malik Abdul Sattar Watoo,Independents
Nayab Roshan Bhango,Independents
Chaudhrytahir Mahmood Arain,Independents
Ahmad Saeed Bhatti,Independents
Chaudhry Ghulam Rasool Bhatti,Jamaat-e-Islami
Muhammad Yaseen,Pakistan Peoples Party (Shaheed Bhutto)
Badar Munir Hussain Bhatti,Independents
Rana Anwar Ul Haq Sohorriya,Independents
Mahmood Ul Haq,Independents
Amanat Ali Zaib,Pakistan Falah Party
Zia Ahmad Khan,Independents
Rai Muhammad Nawaz Kharal Advocate,Independents
Muhammad Shahid,Pakistan Muhammadi Party
Rai Qaisar Abbas,Independents
Rana Bashir Ahmad,Muttahida Qaumi Movement Pakistan
Doctor Altaf Hussain,Independents
Haji Ikram Saeed Bhatti,Independents
Qasim Mehmood Walana,Independents
Javed Iqbal Watoo,Independents
Liaqat Ali,Independents
Chaudhry Habib Alam Virk,Independents
Mian Rashid,Independents
Muhammad Aslam S/O Muhabbat Khan,Independents
Zahid Nadeem S/O Muhammad Rafique,Independents
Sajjad Haider Gujjar,Pakistan Muslim League (Nawaz)
Rana Waheed Ahmad,Independents
Chaudhry Muhammad Mazhar Ali,Independents
Chaudhry Ahmad Moeen Sandhu,Pakistan Tehreek-e-Insaf
Chaudhry Ashiq Hussain Bhatti,Independents
Mian Abdul Hafeez Tail Walay,Independents
Muhammad Javed Bhatti,Pakistan Peoples Party Parliamentarians
Malik Waris Ali,Independents
Chaudhry Muhammad Afzal Guru,Independents
Rana Saeed Ahmad Khan,Independents
Hafiz Muhammad Nadeem,Sunni Tehreek
Mirza Muhammad Imran,Jamaat-e-Islami
Mohatarma Zobaria Waheed,Independents
Rana Nisar Ahmad,Independents
Chaudhry Sana Ullah Jatt,Independents
Tahir Saeed Kujar,Independents
Muhammad Zulfiqar Mirza S/O Mirza Allah Ditta,Muttahida Qaumi Movement Pakistan
Usman Nisar,Independents
Muhammad Irshad Malik,Independents
Muhammad Javed Qadri,Independents
Aliya Tabassum,Independents
Malik Mushtaq Ahmed,Independents
Meharban Saeen Rana Abdul Ghaffoor Mian,Pakistan Muhammadi Party
Muhammad Tabbasum Ali,Independents
Chaudhry Saif Ullah Jutt,Independents
Hafiz Muhammad Rafique,Independents
Muhammad Shawez Khan,Pakistan Muslim League (Nawaz)
Malik Jamshaid Iltaf,Independents
Mohammad Riaz Khan,Pakistan Peoples Party Parliamentarians
Muhammad Akbar Khan,Pakistan Tehreek-e-Insaf
Iqbal Khan,Jamaat-e-Islami
Maulana Shahab Ud Din Ahmed Qureshi,Jamiat Ulema-e Islam (Fazl)
Maulana Umar Farooq Saddiqui,Jamiat Ulama-e-Islam (Sami)
Raja Khan,Independents
Qazi Shehzada Sultan Ul Haq,Jamiat Ulema-e-Pakistan (Noorani)
Syed Azhar Zaman Hamdani,Independents
Shehzada Khuram Khan Alias Laki Khan Of Akhori,Muttahida Qaumi Movement Pakistan
Abdul Razaq,Independents
Ahmad Sajjad Haidar,Pakistan Tehreek-e-Insaf
Ali Niayaz,Independents
Amjad Ali,Independents
Fazal Wadoda,Independents
Hamad Yasin Kamboo,Independents
Ilyas Dogar,Independents
Imtiaz Ahmad Kahloon,Independents
Irfan Ul Hasan Bhati,Independents
Kashif Ali Bahtti,Independents
Maqsood Ahmad Awan,Independents
Mian Ijaz Hussain Bahtti,Independents
Mian Ziaullah Zia,Independents
Muhammad Abad,Independents
Muhammad Aslam,Independents
Muhammad Azam,Independents
Muhammad Ehtsham Amirudin,Independents
Muhammad Rashid,Independents
Muhammad Shafi,Independents
Muhammad Shahzad,Independents
Muhammad Shohaib,Independents
Mumtaz Khan,Jamaat-e-Islami
Mushtaq Hussain,Pakistan Peoples Party Parliamentarians
Naveed Husain,Independents
Nomees Amoon,Independents
Rana Falik Shir,Independents
Rana Ghulam Sarwar,Independents
Shazia Cheema,Independents
Syed Shuazib Hussain Shah,Independents
Tariq Mehmood Bajwa,Independents
Tariq Saeed,Independents
Zulfiqar Ali,Awami Muslim League Pakistan
Rana Muhammad Arshad,Pakistan Muslim League (Nawaz)
Ifitkhar Ahmed,Pakistan Tehreek-e-Insaf
Rai Azeem Saeed,Independents
Rai Sarfraz Ahmad Khan,Pakistan Peoples Party Parliamentarians
Muhammad Arshad Gujar,Independents
Ghulam Mustafa,Jamaat-e-Islami
Azhar Hussain Fakher,Independents
Muhammad Akram Ramay,Pakistan Muslim League (Qaid-e-Azam)
Laiqat Ali Bhatti,Independents
Iftikhar Ali,Independents
Mirza Naeem Baig,Sunni Tehreek
Inam Ul Haq,Independents
Maqbool Ahmad Javaid,Independents
Rai Ajmal Khan,Independents
Ali Ahmad,Awami Muslim League Pakistan
Iqbal Anjum,Muttahida Qaumi Movement Pakistan
Iqbal Azeem Bhati,Independents
Muhammad Ahsan Raza Wagha,Independents
Muhammad Abdullah,Independents
Ahmad Husain,Tehreek-e-Insaniat Pakistan
Syed Essar Hussain Naqvi,Independents
Attaullah,Pakistan Muhammadi Party
Zull E Rehman,Independents
Muhammad Mazhar Saeed,Independents
Malik Zulqarnain Dogar,Pakistan Muslim League (Nawaz)
Shahzad Khalid Khan,Independents
Shahbaz Sharif Chaudhary,Independents
Tahir Miraj,Independents
Muhammad Ehtesham Amir Ud Din,Pakistan Tehreek-e-Insaf
Asghar Ali Bhatti,Pakistan Peoples Party Parliamentarians
Abdul Raoof Qadri,Independents
Muhammad Arshad,Independents
Bashir Masih Bhatti,Independents
Abdul Ghaffar Khan,Independents
Munir Ahmad,Sunni Tehreek
Muhammad Ashfaq,Muttahida Qaumi Movement Pakistan
Anwar Begum,Independents
Asim Riaz,Independents
Ch Amjad Ali,Independents
Syed Izhar Ul Hassan,Independents
Muhammad Atif,Independents
Shahid Mehmood,Independents
Rai Asif Ali Bhatti,Independents
Umme Kalsoom,Independents
Muhammad Kashif,Pakistan Muslim League (Nawaz)
Syed Abrar Hussain Shah,Pakistan Peoples Party Parliamentarians
Rana Muhammad Zulqarnain Khan,Independents
Abdul Khaliq,Pakistan Tehreek-e-Insaf
Ali Amir Joyia,Independents
Syed Zahid Muzaffar Shah,Independents
Nasrummin Allah Javaid,Independents
Shabbir Ahmed,Muttahida Qaumi Movement Pakistan
Rashid Farooq,Jamaat-e-Islami
Rai Ali Zulqarnain,Independents
Syed Jawad Ali Shah Rizwi,Independents
Tayyab Ali,Independents
Mehar Rang Ilahi,Independents
Syed Muhammad Ali Shah,Independents
Tahir Nawaz Shah,Independents
Sabir Huussain,Independents
Khaliq Nawaz Shah,Independents
Sheharyar Virk,Independents
Nosher Safyan,Independents
Shafqat Hatyat Virk,Independents
Muhammad Atif Noor,Independents
Rana Wakeel Ahmed,Independents
Jamil Hassan Khan,Pakistan Muslim League (Nawaz)
Agha Ali Haider,Independents
Rai Muhammad Aslam Khan,Independents
Asghar Ali,Independents
Kashif Mehmood Dogar,Pakistan Tehreek-e-Insaf
Syed Azhar Ul Hassan,Pakistan Peoples Party Parliamentarians
Muhammad Sher,Independents
Ch Muhammad Awais Bawar,Independents
Rehmat Ali,Independents
Mirza Javed Baig,Qaumi Watan Party
Liaquat Ali,Muttahida Qaumi Movement Pakistan
Agha Abbas Raza,Independents
Wakeel Hassan,Independents
Shahadat Ali,Pakistan National Muslim League
Muhammad Asad Raza,Independents
Ghulam Muhammad Shakir Bhatti,Independents
Muhammad Imran,Independents
Allah Tawakkal,Independents
Muhammad Yaqub Nadeem Sethai,Pakistan Muslim League (Nawaz)
Muhammad Ilyas Khan,Independents
Masood Ahmed,Pakistan Tehreek-e-Insaf
Muhammad Iqbal Shad,Jamaat-e-Islami
Sayed Baqar Raza Naqvi,Independents
Islam Ul Din,Jamiat Ulema-e-Pakistan (Noorani)
Akbar Ali,Jamiat Ulema-e Islam (Fazl)
Muhammad Ali Ilyas Khan,Pakistan Awami Quwat Party
Abdul Sattar,Independents
Farooq Ahmad,Independents
Sarfaraz Ahmed,All Pakistan Muslim League
Muhammad Munir,Independents
Talha Adnan Adovcate,Muttahida Qaumi Movement Pakistan
Azeem Ullah Khan,Independents
Mohammad Anis Qureshi,Pakistan Muslim League (Nawaz)
Asad Ullah Khan,Independents
Amjad Ali Tufail,Independents
Sardar Nabi Ahmad Advocate,Independents
Tanveer Arshad,Pakistan Tehreek-e-Insaf
Mohammad Sharif,Jamiat Ulema-e-Pakistan (Noorani)
Akhtar Hussain,Pakistan Peoples Party Parliamentarians
Chudhary Muhammad Ali,Independents
Ali Ahmad Dogar,Independents
Rao Abdul Rashid,Independents
Haji Muhammad Younas,Jamaat-e-Islami
Chudhary Muhammad Saleem Nasim Sandhu,Independents
Muhammad Akbar,Independents
Muhammad Rafique,Jamiat Ulema-e Islam (Fazl)
Muhammad Sharif Sabir,Independents
Tahir Asghar Ghouri,Independents
Asif Naeem,Muttahida Qaumi Movement Pakistan
Rao Ali Afsar,Independents
Mohammad Tasleem,Independents
Shakeel Ahmad,Independents
Shahbaz Ali Virk,Independents
Faisal Dilshad Ghouri,Independents
Nayab Ahmad,Independents
Nasir Iqbal,Independents
Muhammad Naeem Safdar Ansari,Pakistan Muslim League (Nawaz)
Syed Muzaffar Hassan,Pakistan Tehreek-e-Insaf
Muhammad Ashfaq,Pakistan Peoples Party Parliamentarians
Syed Muhammad Zohair Shah Hamdani,Jamiat Ulema-e Islam (Fazl)
Akhtar Masih,Christian Progressive Movement
Atta Ur Rehman,Independents
Manzoor Ahmad Ansari,Independents
Amir Ejaz Chohdary,Independents
Muhammad Shareef Sohdal,Independents
Muhammad Arfan Nawaz,Tehreek-e-Tahaffuze Pakistan
Ghulam Hussain,Independents
Sher Muhammad,Independents
Zubair Ahmad Khan,Independents
Muhammad Yasir Chohadry,Independents
Gohar Inayat,Independents
Abdul Latif,Independents
Faizan Ahmad,Independents
Muhammad Nadeem Babar,Muttahida Qaumi Movement Pakistan
Bismillah,Independents
Asad Ullah,Independents
Muhammad Qaisar Ayoub,Independents
Chohadry Muhammad Saleem Naseem Sandhu,Independents
Chohadry Muhammad Javed,Independents
Syed Iftikhar Hussain,Independents
Rasheed Ahmad Shahid,All Pakistan Muslim League
Malik Ahmad Saeed Khan,Pakistan Muslim League (Nawaz)
Shahid Masood Ali,Independents
Sardar Fakhir Ali Advocate,Pakistan Tehreek-e-Insaf
Sardar Faisal Zaib,Jamaat-e-Islami
Sardar Sarfraz Ahmad Dogar,Jamiat Ulema-e-Pakistan (Noorani)
Chohadry Mubashar Nawaz,Independents
Chohadry Ahmad Ali,Pakistan Peoples Party Parliamentarians
Malik Arshad Umar Khan,Tehreek-e-Tahaffuze Pakistan
Humayoun Masood,Independents
Arshad Ali,Independents
Muhammad Shareef,All Pakistan Muslim League
Chouhadry Mudassar,Independents
Abdul Sattar,Independents
Iftikhar Ahmad,Muttahida Qaumi Movement Pakistan
Umar Hayat,Independents
Ahmad Raees,Independents
Muhammad Sarwar,Independents
Muhammad Asad Yaseen,Independents
Malak Muhammad Ahmad Khan,Pakistan Muslim League (Nawaz)
Malik Khurram Saleem,Pakistan Peoples Party Parliamentarians
Sardar Muhammad Hussain Dogar,Pakistan Tehreek-e-Insaf
Shabbir Hussain,Independents
Malak Zafar Iqbal,Independents
Muhammad Ayoob Khan,Jamaat-e-Islami
Riaz Ahmad,Independents
Malak Riaz Ahmad Khan,Independents
Javed Hussain Baito,Independents
Rana Shahid Ali,Independents
Mujahid Muhammad Yaqoob,Independents
Asif Ali,Muttahida Qaumi Movement Pakistan
Shazia Gelani,Independents
Sardar Mushtaq Ahmad,Independents
Aziz Shair Jang,Independents
Aqeel Ahmad,Independents
Sardar Muhammad Sarwer,Independents
Asghar Ali,Independents
Muhammad Yahya,Independents
Mukhtar Ahmad,Independents
Naila Khuram,Independents
Ghulam Sarwar,Independents
Muhammad Yahya,Independents
Sardar Liaqat Ali Dogar,Independents
Rashid Mehmoood,Independents
Sardar Zulfiqar Umar Khan,Independents
Sher Ali Khan,Pakistan Muslim League (Nawaz)
Malik Muhammad Anwar,Pakistan Tehreek-e-Insaf
Malik Amanat Khan,Independents
Afzaal Hussain,Pakistan Peoples Party Parliamentarians
Lutf Ur Rehman,Sunni Tehreek
Farrukh Hussain,Awami Muslim League Pakistan
Malik Ghulam Mustafa,Muttahida Qaumi Movement Pakistan
Lal Muhammad Farooqi,Jamiat Ulema-e-Pakistan (Noorani)
Malik Arshad Nawaz,Independents
Waqas Hassan Mokal,Pakistan Muslim League (Qaid-e-Azam)
Ahsan Raza Khan,Pakistan Muslim League (Nawaz)
Muhammad Javaid Iqbal,Pakistan Tehreek-e-Insaf
Sardar Muhammad Amjad,Independents
Noor Samand,Independents
Sardar Nazir Ahmad Dogar,Jamaat-e-Islami
Mian Saif Ullah Aziz,Independents
Muhammad Ilyas Tahir,Muttahida Qaumi Movement Pakistan
Mazhar Hayat Bhatti,Tehreek-e-Tahaffuze Pakistan
Faisal Ejaz,Independents
Muhammad Asim,Independents
Muhammad Ishaq Khan,Independents
Shazia Haneef,Independents
Riasat Ali,Independents
Ghulam Rasool,Independents
Mirza Qadir Ahmad,Independents
Malik Jameel Ahmed Khan Kalas,Independents
Afsar Raza Khan,Independents
Sardar Yaar Muhammad Dogar,Independents
Rana Usman Alam,Independents
Ali Muhammad Khan,Independents
Sheikh Alaudin,Pakistan Muslim League (Nawaz)
Zahid Qayyum Khan,Pakistan Muslim League (Qaid-e-Azam)
Rana Aqeel Aslam,Pakistan Tehreek-e-Insaf
Kanwar Mumtaz Hussain,Pakistan Peoples Party Parliamentarians
Saqlain Abbas Shah,Majlis-e-Wahdat-e-Muslimeen Pakistan
Rana Muhammad Nadeem Aslam,Independents
Shafiq Masih,Christian Progressive Movement
Khalid Masood Khan,Jamaat-e-Islami
Ali Raza Raju,Muttahida Qaumi Movement Pakistan
Nasrullah Rana,Independents
Sheikh Muhammad Umer,Independents
Jehangir Ali,Independents
Azra Ijaz Khan,Independents
Muhammad Nabeel Ashraf,Independents
Mohsin Ali Jehangir,Independents
Mehmood Anwar,Pakistan Muslim League (Nawaz)
Malik Mukhtar Ahmed,Independents
Rana Mumtaz,Independents
Ijaz Ahmad,Independents
Amjad Ali Mayo,Pakistan Peoples Party Parliamentarians
Syed Tayyab Mehmood Jafri,Pakistan Tehreek-e-Insaf
Riaz Hussain,Independents
Muhammad Nasir,Independents
Muhammad Younas Awan,Independents
Nazir Ahmed,Independents
Muhammad Awais,Independents
Salma Bibi,Independents
Sarfraz Siddiq,Independents
Munir Hamza,Jamiat Ulema-e Islam (Fazl)
Asif Liaquat,Independents
Saqlain Abbas Shah,Majlis-e-Wahdat-e-Muslimeen Pakistan
Muhammad Akhtar,Independents
Imran Shahid Butt,Independents
Abdul Qayum,Independents
Sibghatullah Chaudhry,Independents
Muhammad Ali Babar,Independents
Sardar Muhammad Asif Nakai,Pakistan Muslim League (Qaid-e-Azam)
Chaudhary Muhammad Ibrahim Khan,Pakistan Muslim League (Nawaz)
Malik Ashiq Hussain,Pakistan Tehreek-e-Insaf
Hafiz Muhammad Shahid Hussain,Sunni Tehreek
Muhammad Irfan,Jamaat-e-Islami
Qamar Abbas,Independents
Alhaj Sarfraz Ahmad Khan Rai,Independents
Bashir Ahmad,Jamiat Ulema-e-Pakistan (Noorani)
Amjad Ali Sabir Dogar,Tehreek-e-Tahaffuze Pakistan
Sardar Muhammad Atif Nakai,Independents
Sardar Ahmad Ayaz Nakai,Independents
Mukhtar Ahmad,Independents
Ghulam Abbas,Independents
Muhammad Ali Khan,Independents
Karamat Ali Khan,Independents
Rana Muhammad Iqbal Khan,Pakistan Muslim League (Nawaz)
Rana Muhammad Aslam Khan,Pakistan Tehreek-e-Insaf
Muhammad Mumtaz Khalid,Pakistan Muslim League (Qaid-e-Azam)
Sardar Noor Ahmad,Jamaat-e-Islami
Sardar Ahmad Ayaz Nakai,Independents
Muhammad Fiaz Khalid,Independents
Rana Salman Iqbal,Independents
Muhammad Arshad Saqi,Independents
Rana Shahzad Iqbal Khan,Independents
Rana Sarfraz Ahmad Khan,Independents
Humayon Majeed Ansari,Independents
Rana Muhammad Nadeem Aslam,Independents
Rana Mujeeb Iqbal  Khan,Independents
Sameena Noor,Pakistan Muslim League (Nawaz)
Malik Muhammad Akram Bhatti,Independents
Muhammad Arif Lashari,Pakistan Peoples Party Parliamentarians
Mian Muhammad Anwer Pasha,Pakistan Tehreek-e-Insaf
Sarfraz Hussain Bhatti,Pakistan Muslim League (Qaid-e-Azam)
Habib Ullah,Independents
Ch Muhammad Yasin Gujar,Tehreek-e-Tahaffuze Pakistan
Mian Muhammad Javed,Independents
Zuhran Bibi,Independents
Shafqat Ali,Independents
Muhammad Ameen,All Pakistan Muslim League
Nasir Ali,Independents
Shagufta Beghum,Muttahida Qaumi Movement Pakistan
Rai Raza Hussain,Independents
Muhammad Shoaib,Independents
Mushtaq Ahmad,Independents
Javaid Alla-Ud-Din Sajid,Pakistan Muslim League (Nawaz)
Rao Muhammad Qaisar Khan,Pakistan Peoples Party Parliamentarians
Mehr Muhammad Iqbal,Independents
Wasi Tahir Chaudhry,Pakistan Tehreek-e-Insaf
Chaudhry Ishtiaq Ahmad,Independents
Nadeem Ashraf,Independents
Peer Muhammad Minhaj-Ul-Islam,Independents
Doctor Azhar Mahmood Chaudhry,Pakistan Muslim League (Qaid-e-Azam)
Ijaz Ali Rao,Independents
Mujahid Ali Awan,Jamiat Ulema-e Islam (Fazl)
Rao Muhammad Tariq  Mehmood,Independents
Ghulam Awais,Independents
Rana Khizar Hayat Khan,Independents
Mumtaz Ali Chudhary,Independents
Muhammad Sabir Bhatti,Independents
Chaudhary Muhammad Azam Ali Jutt,Independents
Rao Muhammad Yousaf Iqbal,Independents
Ijaz Hussain,Independents
Bilal Zia Qamer,Independents
Rao Zaigham Mujtaba,Independents
Rao Abdur Rehman Kashif,Muttahida Qaumi Movement Pakistan
Ahmad Nasir Advocate,Independents
Rana Muhammad Nasir Khan,Independents
Syed Asad Raza,Independents
Muhammad Sibtan Khan,Independents
Syed Raza Ali Gillani,Pakistan Muslim League (Nawaz)
Jahan Aara Wattoo,Pakistan Peoples Party Parliamentarians
Sardar Faisal Shafaat Baigoka,Pakistan Tehreek-e-Insaf
Maulana Sajid Naseem,Independents
Muhammad Sabtain Khan,Tehreek-e-Tahaffuze Pakistan
Mian Muhammad Fakhar Ul Haq Bhutta,Independents
Syed Muhammad Ali Gillani,Independents
Mian Zeeshan Manzoor Wattoo,Independents
Muhammad Ameer Afzal,Independents
Maulana Hafiz Ghulam Muhammad,Independents
Muhammad Akram Awan,Independents
Dr Mazhar Iqbal Waseer,Independents
Mian Dilshad Fareed Khan Wattoo,Independents
Ali Nawaz Syed Kirmani,Independents
Ch Ejaz Nasir,Independents
Rana Muhammad Rasheed Anjum Cobra,Independents
Sardar Ali Haider Wattoo,Independents
Syed Ikram Hussain Bhukhari,All Pakistan Muslim League
Chaudry Iftikhar Hussain Chachar,Pakistan Muslim League (Nawaz)
Mian Manzoor Ahmad Khan Wattoo,Pakistan Peoples Party Parliamentarians
Mirza Ali Raza,Independents
Sardar Javed Iqbal Khan Wattoo,Pakistan Tehreek-e-Insaf
Robina Shaheen Wattoo,Independents
Syed Muhammad Ali Gilani,Independents
Mian Muhammad Fayaz,Independents
Mirza Naveed Ahmad,Independents
Habib Ur Rehman,Muttahida Qaumi Movement Pakistan
Sabahat Nawaz Khan,Independents
Sardar Muhammad Saeed Khan Ladhuka,Independents
Masood Shafqat,Pakistan Tehreek-e-Insaf
Ch Ghulam Raza Rebera,Pakistan Muslim League (Nawaz)
Rai Faisal Abbas,All Pakistan Muslim League
Mian Asghar Jeway Khan,Pakistan Peoples Party Parliamentarians
Rai Ayaz Ul Kareem,Independents
Hassan Mujahid,Pakistan Peoples Party (Shaheed Bhutto)
Muhammad Namdar Khan,Independents
Muhammad Shahzad,Independents
Rao Jameel Akhter,Independents
Muhammad Saleem Raza,Independents
Rizwan Khan,Independents
Rao Muhammad Imran,Independents
Rao Khalil Akhter,Independents
Noor Ul Aeen Rai,Independents
Babar Abbas,Independents
Zafar Iqbal,Pakistan Muslim League (Nawaz)
Manzer Ameer,Independents
Syed Abbass Muhi Ud Din,Pakistan Tehreek-e-Insaf
Raziq Dad Khan,Jamaat-e-Islami
Sardar Muhammad Ameer Khan,Hazara Democratic Party
Sardar Mumtaz Khan,Jamiat Ulema-e Islam (Fazl)
Muhammad Daud Mustafai,Jamiat Ulema-e-Pakistan (Noorani)
Niaz Ali Malik,Muttahida Qaumi Movement Pakistan
Hafiz Abdul Rehman,Sunni Tehreek
Liaqat Hussain Khattak,Pakistan Justice Party
Main Muhammad Munir,Pakistan Muslim League (Nawaz)
Muhammad Ashraf Khan Sohna,Pakistan Peoples Party Parliamentarians
Azhar Mahmood Chaudhary,Pakistan Tehreek-e-Insaf
Rao Mazhar Elahi Khan,Independents
Muhammad Farooq Sheikh,Jamaat-e-Islami
Molana Iftekhar Ahmed,Jamiat Ulama-e-Islam (Sami)
M.aslam Mughal Advocate,Sunni Tehreek
Ch Kashif Shakoor Saleemi,Independents
Muhammad Kamran Khan Lodhi,All Pakistan Muslim League
Muhammad Ashraf Sangoka,Independents
Ch Irfan Majeed,Independents
Ch Nasir Ali Kamboh Advocate,Independents
Samina Akbar Rao,Pakistan Peoples Party (Shaheed Bhutto)
Sheikh Khalid Mahmood,Independents
Malik Shafiq Akram Vaseer Advocate,Independents
Shakil Mustafa,Jannat Pakistan Party
Shafique Ur Rehman,Muttahida Qaumi Movement Pakistan
Khalid Mahmood,Independents
Faisal Rasheed Ch,Independents
Kamran Khalid Ch,Independents
Homeo Dr Muhammad Arshad Khan,Independents
Mirza Naeem Baig,Independents
Abdul Razzaq Mughal,Independents
Ch Mahboob Ali Qadri,Independents
Jahanzeb Ahmed,Independents
Muhammad Ashraf,Independents
Abdul Sattar Wahla,Independents
Mateen Iqbal,Independents
Muhammad Afzal,Independents
Mian Asif Iqbal,Independents
Muhammad Tayyab Ch,Independents
Ch Shabbir Hussain,Independents
Muhammad Mansha Khan,Independents
Rehan Ali Chaudhary,Independents
Mian Yawar Zaman,Pakistan Muslim League (Nawaz)
Abdul Sattar,Pakistan Peoples Party Parliamentarians
Rao Raashid Ali Sher Khan,Pakistan Tehreek-e-Insaf
Malik Abdul Hakeem,Jamaat-e-Islami
Noor Nabi,Independents
Anees Ur Rehman Maqsood Hussani,All Pakistan Muslim League
Malik Shafiq Akram Waseer,Independents
Maqsood Ul Hassan,Independents
Muhammad Waqas Kambo,Muttahida Qaumi Movement Pakistan
Rao Muhammad Ashraf,Independents
Malik Mushtaq Ahmad Bhour,Independents
Rao Khalil  Akhtar,Independents
Khadim Hussain,Independents
Rao Jameel Akhtar,Independents
Muhammad Arshad,Independents
Hafeez Ullah,Independents
Ali Abbas,Pakistan Muslim League (Nawaz)
Ch Tariq Irshad Khan,Pakistan Tehreek-e-Insaf
Syed Abbas Raza Rizwi,Pakistan Peoples Party Parliamentarians
Mian Sana Ullah Dolla,Tehreek-e-Tahaffuze Pakistan
Sardar Sheharyar Moakkal,Pakistan Muslim League (Qaid-e-Azam)
Ch Ahmad Nawaz Khan,Independents
Mian Muhammad Rafi Sukhera,Jamaat-e-Islami
Syed Hashim Raza Rizwi,Independents
Mian Asif Rasool Mohal,Independents
Malik Nazar Farid Khokhar,Independents
Rao Fahad Ajmal,Independents
Dr Muhammad Riaz Prince,Independents
Malik Mehboob Elahi,Sunni Tehreek
Malik Ghulam Nabi Khokhar,Independents
Muhammad Ishaq Bhatti,All Pakistan Muslim League
Khalil Ur Rehman Khan,Independents
Ch Muhammad Akram,Independents
Muhammad Moeen Wattoo,Pakistan Muslim League (Nawaz)
Mian Khuram Jahangir Wattoo,Pakistan Peoples Party Parliamentarians
Dewan Ikhlaq Ahmad,Independents
Javed Ahmad,Pakistan Tehreek-e-Insaf
Malik Muhammad Ghazanfar Ali Khokhar,Independents
Misdaq Ahmad Dewan,Independents
Mian Manzoor Ahmad Khan Wattoo,Independents
Arshad Masih,Muttahida Qaumi Movement Pakistan
Nawab Ali Khan,Independents
Nabi Bakhash,Pakistan Justice Party
Malik Waqar Ahmad,Independents
Zaheer Uddin Khan Alizai,Pakistan Tehreek-e-Insaf
Malik Anwar Ali,Pakistan Muslim League (Nawaz)
Muhammad Usman,Pakistan Peoples Party Parliamentarians
Shahid Mahmood Khan,Independents
Humera Kausar,Independents
Malik Muhammad Umar Kamboh,Jamiat Ulema-e Islam (Fazl)
Muhammad Khalid,Independents
Syed Aqeel Haider Shah,Independents
Muhammad Pervez Bhatti,Independents
Muhammad Ayub Mughal,Jamiat Ulema-e-Pakistan (Noorani)
Abdul Majeed,Independents
Muhammad Nawaz,Mustaqbil Pakistan
Waseem Ahmad Farooqi,Independents
Iqbal Hussain,Muttahida Qaumi Movement Pakistan
Fida Hussain Awan,Pakistan Justice Party
Abdul Sattar Ahmad,Independents
Noman Ejaz Balouch,Independents
Javed Akhtar,Pakistan Tehreek-e-Insaf
Aamir Saeed Ansari,Pakistan Muslim League (Nawaz)
Ch Muhammad Yaqoob,Pakistan Peoples Party Parliamentarians
